algo,cache_size,miss_ratio,throughput
lru,0.1,0.4854,1.9
fifo,0.1,0.4978,2.1
pnac,0.1,0.5338,1.61
arc,0.1,0.5281,1.44
twoq,0.1,0.4702,0.88
sieve,0.1,0.5032,1.96
lfu,0.1,0.6178,2.07
lru,0.05,0.5246,2.08
fifo,0.05,0.5347,2.35
pnac,0.05,0.5714,1.6
arc,0.05,0.5685,1.68
twoq,0.05,0.5032,0.9
sieve,0.05,0.5408,1.95
lfu,0.05,0.6648,2.25
lru,0.1,0.4854,1.99
fifo,0.1,0.4978,2.28
pnac,0.1,0.5338,1.6
arc,0.1,0.5281,1.49
twoq,0.1,0.4702,0.93
sieve,0.1,0.5032,1.99
lfu,0.1,0.6178,2.2
lru,0.2,0.4391,1.78
fifo,0.2,0.4521,2.25
pnac,0.2,0.4883,1.59
arc,0.2,0.4783,1.6
twoq,0.2,0.4401,0.97
sieve,0.2,0.4596,2.06
lfu,0.2,0.5598,1.9
lru,0.25,0.4246,1.89
fifo,0.25,0.4382,2.18
pnac,0.25,0.4743,1.61
arc,0.25,0.4646,1.61
twoq,0.25,0.43,1.04
sieve,0.25,0.4467,1.91
lfu,0.25,0.5455,1.82
lru,0.3,0.4153,1.77
fifo,0.3,0.4278,2.02
pnac,0.3,0.4638,1.59
arc,0.3,0.4565,1.75
twoq,0.3,0.4212,1.07
sieve,0.3,0.4346,1.93
lfu,0.3,0.5373,1.94
lru,0.4,0.4028,1.86
fifo,0.4,0.4137,1.99
pnac,0.4,0.4461,1.74
arc,0.4,0.4441,1.35
twoq,0.4,0.4094,0.77
sieve,0.4,0.4266,1.46
lfu,0.4,0.5125,1.31
lru,0.5,0.3952,1.24
fifo,0.5,0.4065,1.44
pnac,0.5,0.43,1.27
arc,0.5,0.4361,1.01
twoq,0.5,0.4056,0.85
sieve,0.5,0.4062,1.72
lfu,0.5,0.4952,1.63
lru,0.6,0.3863,1.42
fifo,0.6,0.4012,1.41
pnac,0.6,0.4185,1.32
arc,0.6,0.4274,0.97
twoq,0.6,0.4012,0.7
sieve,0.6,0.4007,1.41
lfu,0.6,0.4761,1.26
lru,0.75,0.3716,1.24
fifo,0.75,0.3878,1.53
pnac,0.75,0.3889,1.29
arc,0.75,0.3954,1.06
twoq,0.75,0.3878,0.89
sieve,0.75,0.3903,1.47
lfu,0.75,0.4089,1.15
lru,0.8,0.3683,1.3
fifo,0.8,0.3815,1.54
pnac,0.8,0.3793,1.26
arc,0.8,0.3835,1.03
twoq,0.8,0.3815,0.92
sieve,0.8,0.3813,1.42
lfu,0.8,0.3887,1.17
lru,0.9,0.3637,1.31
fifo,0.9,0.3694,1.59
pnac,0.9,0.366,1.32
arc,0.9,0.366,1.07
twoq,0.9,0.3694,1.12
sieve,0.9,0.366,1.35
lfu,0.9,0.366,1.07
lru,1.0,0.3624,1.07
fifo,1.0,0.3624,1.2
pnac,1.0,0.3624,1.07
arc,1.0,0.3624,1.4
twoq,1.0,0.3624,1.13
sieve,1.0,0.3624,1.42
lfu,1.0,0.3624,1.04
