algo,cache_size,miss_ratio,throughput
lru,0.8,0.3302,2.28
fifo,0.8,0.3378,2.64
pnac,0.8,0.3317,2.31
arc,0.8,0.3317,2.35
twoq,0.8,0.3378,1.89
sieve,0.8,0.3317,2.52
lfu,0.8,0.3317,2.11
lru,0.05,0.4651,2.67
fifo,0.05,0.4753,3.22
pnac,0.05,0.4985,2.25
arc,0.05,0.4986,2.36
twoq,0.05,0.4466,1.21
sieve,0.05,0.475,2.69
lfu,0.05,0.5829,3.02
lru,0.1,0.4337,2.62
fifo,0.1,0.4452,3.17
pnac,0.1,0.4675,2.23
arc,0.1,0.4597,2.22
twoq,0.1,0.4185,1.24
sieve,0.1,0.4443,2.7
lfu,0.1,0.5339,2.92
lru,0.2,0.3933,2.51
fifo,0.2,0.4082,2.98
pnac,0.2,0.4241,2.21
arc,0.2,0.4152,2.12
twoq,0.2,0.3909,1.27
sieve,0.2,0.4034,2.71
lfu,0.2,0.4672,2.61
lru,0.25,0.3803,2.45
fifo,0.25,0.396,2.94
pnac,0.25,0.4068,2.2
arc,0.25,0.4007,2.19
twoq,0.25,0.3826,1.28
sieve,0.25,0.3895,2.72
lfu,0.25,0.4414,2.45
lru,0.3,0.3703,2.35
fifo,0.3,0.3864,2.86
pnac,0.3,0.391,2.25
arc,0.3,0.3884,2.22
twoq,0.3,0.3764,1.33
sieve,0.3,0.3807,2.75
lfu,0.3,0.4215,2.39
lru,0.4,0.3553,2.42
fifo,0.4,0.3714,2.79
pnac,0.4,0.3686,2.23
arc,0.4,0.3706,2.22
twoq,0.4,0.3673,1.36
sieve,0.4,0.3616,2.69
lfu,0.4,0.3949,2.29
lru,0.5,0.3456,2.35
fifo,0.5,0.3611,2.8
pnac,0.5,0.3554,2.25
arc,0.5,0.3577,2.35
twoq,0.5,0.3608,1.46
sieve,0.5,0.3552,2.65
lfu,0.5,0.3685,2.18
lru,0.6,0.3387,2.27
fifo,0.6,0.3541,2.78
pnac,0.6,0.3451,2.27
arc,0.6,0.3448,2.36
twoq,0.6,0.3541,1.55
sieve,0.6,0.3454,2.56
lfu,0.6,0.3458,2.1
lru,0.75,0.3316,2.36
fifo,0.75,0.3423,2.78
pnac,0.75,0.3339,2.38
arc,0.75,0.3339,2.39
twoq,0.75,0.3423,1.8
sieve,0.75,0.3339,1.64
lfu,0.75,0.3339,1.38
lru,0.9,0.3285,1.57
fifo,0.9,0.3309,2.29
pnac,0.9,0.3289,2.29
arc,0.9,0.3289,2.31
twoq,0.9,0.3309,2.17
sieve,0.9,0.3289,2.6
lfu,0.9,0.3289,2.13
lru,1.0,0.3281,2.56
fifo,1.0,0.3281,2.96
pnac,1.0,0.3281,2.54
arc,1.0,0.3281,2.39
twoq,1.0,0.3281,2.38
sieve,1.0,0.3281,2.93
lfu,1.0,0.3281,2.09
lru,0.05,0.4651,2.46
fifo,0.05,0.4753,2.74
pnac,0.05,0.4985,1.85
arc,0.05,0.4986,1.56
twoq,0.05,0.4466,0.86
sieve,0.05,0.475,2.09
lfu,0.05,0.5829,2.44
lru,0.1,0.4337,1.81
fifo,0.1,0.4452,2.39
pnac,0.1,0.4675,1.8
arc,0.1,0.4597,1.66
twoq,0.1,0.4185,1.05
sieve,0.1,0.4443,2.24
lfu,0.1,0.5339,2.5
lru,0.2,0.3933,2.05
fifo,0.2,0.4082,2.63
pnac,0.2,0.4241,1.75
arc,0.2,0.4152,1.56
twoq,0.2,0.3909,0.85
sieve,0.2,0.4034,1.91
lfu,0.2,0.4672,1.74
lru,0.25,0.3803,1.55
fifo,0.25,0.396,2.09
pnac,0.25,0.4068,1.62
arc,0.25,0.4007,1.5
twoq,0.25,0.3826,0.94
sieve,0.25,0.3895,2.02
lfu,0.25,0.4414,1.78
lru,0.3,0.3703,1.62
fifo,0.3,0.3864,2.14
pnac,0.3,0.391,1.69
arc,0.3,0.3884,1.54
twoq,0.3,0.3764,0.96
sieve,0.3,0.3807,1.95
lfu,0.3,0.4215,1.66
lru,0.4,0.3553,1.61
fifo,0.4,0.3714,1.97
pnac,0.4,0.3686,1.68
arc,0.4,0.3706,1.51
twoq,0.4,0.3673,0.97
sieve,0.4,0.3616,2.0
lfu,0.4,0.3949,1.57
lru,0.5,0.3456,1.69
fifo,0.5,0.3611,2.0
pnac,0.5,0.3554,1.67
arc,0.5,0.3577,1.65
twoq,0.5,0.3608,1.02
sieve,0.5,0.3552,1.92
lfu,0.5,0.3685,1.44
lru,0.6,0.3387,1.67
fifo,0.6,0.3541,2.06
pnac,0.6,0.3451,1.67
arc,0.6,0.3448,1.65
twoq,0.6,0.3541,1.08
sieve,0.6,0.3454,1.95
lfu,0.6,0.3458,1.57
lru,0.75,0.3316,1.71
fifo,0.75,0.3423,2.04
pnac,0.75,0.3339,1.78
arc,0.75,0.3339,1.68
twoq,0.75,0.3423,1.34
sieve,0.75,0.3339,1.87
lfu,0.75,0.3339,1.45
lru,0.8,0.3302,1.65
fifo,0.8,0.3378,1.93
pnac,0.8,0.3317,1.67
arc,0.8,0.3317,1.52
twoq,0.8,0.3378,1.3
sieve,0.8,0.3317,1.8
lfu,0.8,0.3317,1.45
lru,0.9,0.3285,1.65
fifo,0.9,0.3309,2.16
pnac,0.9,0.3289,2.45
arc,0.9,0.3289,2.48
twoq,0.9,0.3309,2.2
sieve,0.9,0.3289,2.72
lfu,0.9,0.3289,2.22
lru,1.0,0.3281,2.6
fifo,1.0,0.3281,2.87
pnac,1.0,0.3281,2.54
arc,1.0,0.3281,2.47
twoq,1.0,0.3281,2.46
sieve,1.0,0.3281,2.88
lfu,1.0,0.3281,2.31
lru,0.05,0.4651,2.68
fifo,0.05,0.4753,3.35
pnac,0.05,0.4985,2.21
arc,0.05,0.4986,2.4
twoq,0.05,0.4466,1.23
sieve,0.05,0.475,2.73
lfu,0.05,0.5829,3.04
lru,0.1,0.4337,2.6
fifo,0.1,0.4452,3.17
pnac,0.1,0.4675,2.21
arc,0.1,0.4597,2.2
twoq,0.1,0.4185,1.21
sieve,0.1,0.4443,2.68
lfu,0.1,0.5339,2.82
lru,0.2,0.3933,2.46
fifo,0.2,0.4082,3.08
pnac,0.2,0.4241,2.18
arc,0.2,0.4152,2.15
twoq,0.2,0.3909,1.27
sieve,0.2,0.4034,2.71
lfu,0.2,0.4672,2.55
lru,0.25,0.3803,2.39
fifo,0.25,0.396,2.92
pnac,0.25,0.4068,2.2
arc,0.25,0.4007,2.16
twoq,0.25,0.3826,1.31
sieve,0.25,0.3895,2.7
lfu,0.25,0.4414,2.48
lru,0.3,0.3703,2.35
fifo,0.3,0.3864,2.88
pnac,0.3,0.391,2.2
arc,0.3,0.3884,2.2
twoq,0.3,0.3764,1.38
sieve,0.3,0.3807,2.77
lfu,0.3,0.4215,2.38
lru,0.4,0.3553,2.42
fifo,0.4,0.3714,2.84
pnac,0.4,0.3686,2.22
arc,0.4,0.3706,2.26
twoq,0.4,0.3673,1.43
sieve,0.4,0.3616,2.84
lfu,0.4,0.3949,2.29
lru,0.5,0.3456,2.43
fifo,0.5,0.3611,2.82
pnac,0.5,0.3554,2.34
arc,0.5,0.3577,2.38
twoq,0.5,0.3608,1.51
sieve,0.5,0.3552,2.72
lfu,0.5,0.3685,2.2
lru,0.6,0.3387,2.4
fifo,0.6,0.3541,2.84
pnac,0.6,0.3451,2.34
arc,0.6,0.3448,2.45
twoq,0.6,0.3541,1.63
sieve,0.6,0.3454,2.67
lfu,0.6,0.3458,2.15
lru,0.75,0.3316,2.47
fifo,0.75,0.3423,2.85
pnac,0.75,0.3339,2.5
arc,0.75,0.3339,2.47
twoq,0.75,0.3423,1.89
sieve,0.75,0.3339,2.81
lfu,0.75,0.3339,2.07
lru,0.8,0.3302,2.48
fifo,0.8,0.3378,2.89
pnac,0.8,0.3317,2.52
arc,0.8,0.3317,2.49
twoq,0.8,0.3378,2.02
sieve,0.8,0.3317,2.83
lfu,0.8,0.3317,2.19
lru,0.9,0.3285,2.55
fifo,0.9,0.3309,2.93
pnac,0.9,0.3289,2.45
arc,0.9,0.3289,2.54
twoq,0.9,0.3309,2.31
sieve,0.9,0.3289,2.83
lfu,0.9,0.3289,2.21
lru,1.0,0.3281,2.62
fifo,1.0,0.3281,3.06
pnac,1.0,0.3281,2.68
arc,1.0,0.3281,2.56
twoq,1.0,0.3281,2.55
sieve,1.0,0.3281,3.08
lfu,1.0,0.3281,2.46
