algo,cache_size,miss_ratio,throughput
lru,0.05,0.3856,3.71
fifo,0.05,0.4025,3.8
pnac,0.05,0.3873,3.09
arc,0.05,0.3873,3.15
twoq,0.05,0.3654,1.32
sieve,0.05,0.399,4.01
lfu,0.05,0.5317,3.98
lru,0.1,0.2866,3.77
fifo,0.1,0.3113,3.8
pnac,0.1,0.3169,3.05
arc,0.1,0.2886,3.22
twoq,0.1,0.2787,1.48
sieve,0.1,0.3087,3.82
lfu,0.1,0.4219,3.77
lru,0.2,0.1924,3.91
fifo,0.2,0.2138,4.16
pnac,0.2,0.209,3.12
arc,0.2,0.1938,3.48
twoq,0.2,0.1918,1.67
sieve,0.2,0.2035,3.97
lfu,0.2,0.3014,3.96
lru,0.25,0.1642,3.92
fifo,0.25,0.1845,4.5
pnac,0.25,0.1683,3.07
arc,0.25,0.1649,3.67
twoq,0.25,0.1639,1.74
sieve,0.25,0.1769,4.3
lfu,0.25,0.2553,3.7
lru,0.3,0.1427,3.89
fifo,0.3,0.1622,4.63
pnac,0.3,0.1383,3.12
arc,0.3,0.1423,4.07
twoq,0.3,0.1435,1.7
sieve,0.3,0.1412,4.27
lfu,0.3,0.2187,3.75
lru,0.4,0.1087,4.2
fifo,0.4,0.1244,4.65
pnac,0.4,0.103,3.56
arc,0.4,0.1083,3.92
twoq,0.4,0.1089,1.85
sieve,0.4,0.1093,4.55
lfu,0.4,0.1502,3.6
lru,0.5,0.0872,3.97
fifo,0.5,0.0982,5.13
pnac,0.5,0.0757,3.77
arc,0.5,0.086,4.34
twoq,0.5,0.0869,1.91
sieve,0.5,0.0731,4.53
lfu,0.5,0.0886,3.81
lru,0.6,0.0623,3.99
fifo,0.6,0.0685,5.49
pnac,0.6,0.0518,4.17
arc,0.6,0.0533,4.34
twoq,0.6,0.0622,2.06
sieve,0.6,0.0487,4.88
lfu,0.6,0.0593,3.91
lru,0.75,0.0368,4.24
fifo,0.75,0.0442,5.66
pnac,0.75,0.0345,4.73
arc,0.75,0.0346,4.48
twoq,0.75,0.0416,2.32
sieve,0.75,0.0333,5.53
lfu,0.75,0.0373,3.71
lru,0.8,0.0335,4.25
fifo,0.8,0.0386,5.55
pnac,0.8,0.0316,5.15
arc,0.8,0.0315,4.23
twoq,0.8,0.0386,2.59
sieve,0.8,0.0307,5.55
lfu,0.8,0.0326,3.71
lru,0.9,0.0292,4.74
fifo,0.9,0.0339,5.42
pnac,0.9,0.0286,5.25
arc,0.9,0.0285,4.36
twoq,0.9,0.0339,3.64
sieve,0.9,0.0285,5.32
lfu,0.9,0.0285,3.92
lru,1.0,0.0282,4.35
fifo,1.0,0.0282,5.71
pnac,1.0,0.0282,5.28
arc,1.0,0.0282,4.43
twoq,1.0,0.0282,5.2
sieve,1.0,0.0282,5.2
lfu,1.0,0.0282,3.77
lru,0.05,0.3856,3.83
fifo,0.05,0.4025,3.72
pnac,0.05,0.3873,3.14
arc,0.05,0.3873,3.28
twoq,0.05,0.3654,1.34
sieve,0.05,0.399,4.11
lfu,0.05,0.5317,3.79
lru,0.1,0.2866,3.61
fifo,0.1,0.3113,3.97
pnac,0.1,0.3169,2.94
arc,0.1,0.2886,3.34
twoq,0.1,0.2787,1.48
sieve,0.1,0.3087,3.74
lfu,0.1,0.4219,3.99
lru,0.2,0.1924,3.66
fifo,0.2,0.2138,4.23
pnac,0.2,0.209,2.9
arc,0.2,0.1938,3.54
twoq,0.2,0.1918,1.6
sieve,0.2,0.2035,4.06
lfu,0.2,0.3014,3.68
lru,0.25,0.1642,3.74
fifo,0.25,0.1845,4.45
pnac,0.25,0.1683,3.05
arc,0.25,0.1649,3.88
twoq,0.25,0.1639,1.63
sieve,0.25,0.1769,4.38
lfu,0.25,0.2553,3.65
lru,0.3,0.1427,3.96
fifo,0.3,0.1622,4.39
pnac,0.3,0.1383,3.29
arc,0.3,0.1423,3.89
twoq,0.3,0.1435,1.73
sieve,0.3,0.1412,4.13
lfu,0.3,0.2187,3.89
lru,0.4,0.1087,3.85
fifo,0.4,0.1244,4.81
pnac,0.4,0.103,3.32
arc,0.4,0.1083,4.04
twoq,0.4,0.1089,1.81
sieve,0.4,0.1093,4.5
lfu,0.4,0.1502,3.73
lru,0.5,0.0872,3.89
fifo,0.5,0.0982,4.94
pnac,0.5,0.0757,3.84
arc,0.5,0.086,4.3
twoq,0.5,0.0869,1.94
sieve,0.5,0.0731,4.69
lfu,0.5,0.0886,3.62
lru,0.6,0.0623,4.2
fifo,0.6,0.0685,5.16
pnac,0.6,0.0518,4.25
arc,0.6,0.0533,4.48
twoq,0.6,0.0622,2.09
sieve,0.6,0.0487,5.03
lfu,0.6,0.0593,3.69
lru,0.75,0.0368,4.41
fifo,0.75,0.0442,5.65
pnac,0.75,0.0345,4.79
arc,0.75,0.0346,4.55
twoq,0.75,0.0416,2.38
sieve,0.75,0.0333,5.38
lfu,0.75,0.0373,3.68
lru,0.8,0.0335,4.21
fifo,0.8,0.0386,5.55
pnac,0.8,0.0316,5.05
arc,0.8,0.0315,4.5
twoq,0.8,0.0386,2.61
sieve,0.8,0.0307,5.32
lfu,0.8,0.0326,3.63
lru,0.9,0.0292,4.45
fifo,0.9,0.0339,5.56
pnac,0.9,0.0286,5.22
arc,0.9,0.0285,4.46
twoq,0.9,0.0339,3.62
sieve,0.9,0.0285,5.26
lfu,0.9,0.0285,3.7
lru,1.0,0.0282,4.36
fifo,1.0,0.0282,5.41
pnac,1.0,0.0282,5.22
arc,1.0,0.0282,4.52
twoq,1.0,0.0282,5.1
sieve,1.0,0.0282,5.41
lfu,1.0,0.0282,3.68
